Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude
07470,43.3,55154.0,44015.0,10510.0,0.1905573485150669,108092.0,Wayne,Passaic,40.943608000000005,-74.25004
07480,45.5,16632.0,15348.0,1226.0,0.07371332371332372,100963.0,West Milford,Passaic,41.102569,-74.37047
07481,44.5,17231.0,15287.0,1784.0,0.10353432766525449,147463.0,Wyckoff,Bergen,40.998583,-74.1671
07495,-666666666.0,0.0,0.0,0.0,,-666666666.0,Mahwah,Bergen,40.948054,-74.08323100000001
07501,32.2,32749.0,18741.0,10528.0,0.3214754648996916,26691.0,Paterson,Passaic,40.912198,-74.16863000000001
07502,34.6,16719.0,9930.0,5352.0,0.3201148394042706,52292.0,Paterson,Passaic,40.918948,-74.1939
07503,33.9,18559.0,9196.0,8136.0,0.43838568888409934,40368.0,Paterson,Passaic,40.896798,-74.15731
07504,38.2,11122.0,6312.0,4149.0,0.3730444164718576,58125.0,Paterson,Passaic,40.912147999999995,-74.14271
07505,38.5,2673.0,1593.0,776.0,0.29031051253273477,26198.0,Paterson,Passaic,40.916165,-74.17129
07506,39.2,19065.0,15864.0,2715.0,0.14240755310778913,93675.0,Hawthorne,Passaic,40.957498,-74.15626999999999
07508,39.5,22959.0,15985.0,6348.0,0.27649287860969557,77128.0,Haledon,Passaic,40.945198,-74.18285999999999
07512,42.1,10829.0,8447.0,2086.0,0.19263089851325146,97729.0,Totowa,Passaic,40.903348,-74.21763
07513,32.4,12794.0,5818.0,6013.0,0.46998593090511176,39665.0,Paterson,Passaic,40.906597999999995,-74.14944
07514,31.6,20358.0,12197.0,7597.0,0.3731702524805973,39951.0,Paterson,Passaic,40.923648,-74.14321
07522,30.6,19890.0,11350.0,7169.0,0.3604323780794369,30902.0,Paterson,Passaic,40.925778,-74.17784
07524,33.0,13026.0,7099.0,4603.0,0.35337018271150006,35397.0,Paterson,Passaic,40.930398,-74.15829000000001
07601,39.0,44673.0,26234.0,17342.0,0.38819868824569653,59277.0,Hackensack,Bergen,40.888678000000006,-74.0488
07603,37.6,8437.0,5613.0,2551.0,0.30235865829086167,79356.0,Bogota,Bergen,40.873876,-74.02769
07604,42.9,12205.0,8876.0,3107.0,0.25456780008193364,87800.0,Hasbrouck Heights,Bergen,40.86289,-74.07506
07605,43.7,9191.0,5099.0,3940.0,0.4286802306604287,89744.0,Leonia,Bergen,40.862685,-73.98550999999999
07606,41.0,2661.0,1574.0,1070.0,0.40210447200300636,66094.0,South Hackensack,Bergen,40.863699,-74.04643
07607,42.0,9789.0,6796.0,2806.0,0.2866482786801512,86100.0,Maywood,Bergen,40.90503,-74.06279
07608,46.2,108.0,78.0,30.0,0.2777777777777778,-666666666.0,Teterboro,Bergen,40.853722999999995,-74.05986999999999
07620,52.9,1489.0,927.0,547.0,0.3673606447280054,118068.0,Alpine,Bergen,40.952814000000004,-73.93064
07621,39.0,27694.0,16570.0,10685.0,0.3858236441106377,90962.0,Bergenfield,Bergen,40.923747999999996,-73.99879
07624,44.1,8702.0,5271.0,3251.0,0.3735922776373248,130815.0,Closter,Bergen,40.971956,-73.96166
07626,41.3,8811.0,5574.0,3100.0,0.351832936102599,136250.0,Cresskill,Bergen,40.942074,-73.96504
07627,43.4,5031.0,3518.0,1434.0,0.28503279666070364,149271.0,Demarest,Bergen,40.955603,-73.96044
07628,41.9,17882.0,12770.0,4902.0,0.2741304104686277,94617.0,Dumont,Bergen,40.945173,-73.99342
07630,43.2,7668.0,6180.0,1476.0,0.19248826291079812,111536.0,Emerson,Bergen,40.97514,-74.02725
07631,39.9,28412.0,18537.0,9596.0,0.337744614951429,80489.0,Englewood,Bergen,40.893343,-73.9758
07632,48.9,5532.0,2943.0,2412.0,0.4360086767895879,134904.0,Englewood Cliffs,Bergen,40.883749,-73.95173
07640,43.7,4819.0,3771.0,933.0,0.19360863249636853,127188.0,Harrington Park,Bergen,40.989357,-73.97958
07641,45.4,3473.0,2850.0,598.0,0.17218543046357615,170417.0,Haworth,Bergen,40.958573,-73.98659
07642,44.7,10520.0,8967.0,1459.0,0.13868821292775665,124844.0,Hillsdale,Bergen,41.007389,-74.04247
07643,42.0,10942.0,5914.0,4849.0,0.44315481630414916,61341.0,Little Ferry,Bergen,40.850621000000004,-74.04111999999999
07644,37.2,24805.0,15128.0,9034.0,0.3642007659746019,57188.0,Lodi,Bergen,40.877998999999996,-74.08265
07645,44.1,8440.0,6497.0,1828.0,0.21658767772511847,120060.0,Montvale,Bergen,41.048997,-74.04052
07646,41.1,16760.0,11475.0,5006.0,0.2986873508353222,84025.0,New Milford,Bergen,40.936211,-74.0188
07647,45.6,5471.0,3940.0,1508.0,0.27563516724547615,93925.0,Northvale,Bergen,41.009414,-73.94849
07648,47.6,5864.0,4197.0,1615.0,0.2754092769440655,125417.0,Norwood,Bergen,40.994442,-73.95586
07649,44.9,8222.0,6569.0,1576.0,0.19168085623935782,137583.0,Oradell,Bergen,40.953126,-74.03379
07650,39.3,20697.0,7247.0,13179.0,0.6367589505725467,64538.0,Palisades Park,Bergen,40.845742,-73.99479000000001
07652,46.8,26919.0,18121.0,8193.0,0.30435751699543073,105114.0,Paramus,Bergen,40.947107,-74.07047
07656,44.8,8905.0,7760.0,1098.0,0.12330151600224593,106875.0,Park Ridge,Bergen,41.034672,-74.04065
07657,40.0,11369.0,5793.0,5416.0,0.47638314715454305,66690.0,Ridgefield,Bergen,40.832421000000004,-74.00399
07660,37.0,13070.0,8321.0,4540.0,0.3473603672532517,72191.0,Ridgefield Park,Bergen,40.856749,-74.02278000000001
07661,42.6,11648.0,8346.0,3121.0,0.2679429945054945,123590.0,River Edge,Bergen,40.927578999999994,-74.03739
07662,44.6,5677.0,4177.0,1416.0,0.2494275145323234,78333.0,Rochelle Park,Bergen,40.906553,-74.07797
07663,42.2,14076.0,10357.0,3499.0,0.2485791418016482,94177.0,Saddle Brook,Bergen,40.904131,-74.09474
07666,38.7,40977.0,30921.0,9184.0,0.22412572906752568,106411.0,Teaneck,Bergen,40.890964000000004,-74.01115
07670,43.3,14882.0,9509.0,5150.0,0.3460556376831071,153906.0,Tenafly,Bergen,40.921690000000005,-73.96481999999999
07675,44.2,27300.0,22283.0,4821.0,0.17659340659340658,119748.0,Westwood,Bergen,40.99904,-74.03291
07676,46.0,9354.0,7916.0,1394.0,0.1490271541586487,128203.0,Township Of Washington,Bergen,40.989508,-74.061302
07677,46.7,5868.0,5162.0,684.0,0.1165644171779141,161250.0,Woodcliff Lake,Bergen,41.025101,-74.059762
07701,40.5,23874.0,19705.0,4018.0,0.16830024294211277,84520.0,Red Bank,Monmouth,40.352953,-74.07703000000001
